AEEX,ASIA EQUITY EXCHANGE GRP I,04/21/2016,NASDAQ-OTC
AEGG,AMERICAN ENERGY NEW,04/21/2016,NASDAQ-OTC
AEGN,AEGION,04/21/2016,NASDAQ-OTC
AEGOF,AEGON NV ORD SHS,04/21/2016,NASDAQ-OTC
AEGR,AEGERION PHARMACEUTICALS,04/21/2016,NASDAQ-OTC
AEGXF,AECON GROUP INC,04/21/2016,NASDAQ-OTC
AEGY,ALTERNATIVE ENERGY,04/21/2016,NASDAQ-OTC
AEHR,AEHR TEST,04/21/2016,NASDAQ-OTC
AEIS,ADVANCED ENERGY INDS,04/21/2016,NASDAQ-OTC
AELEF,ALPINE ELECTRONICS I,04/21/2016,NASDAQ-OTC
AELTF,ADACEL TECHNOLOGIES,04/21/2016,NASDAQ-OTC
AEMAF,ALCHEMIA LTD,04/21/2016,NASDAQ-OTC
AEMC,ARCHER ENTERTAINMENT,04/21/2016,NASDAQ-OTC
AEMD,AETHLON MEDICAL INC. COMM,04/21/2016,NASDAQ-OTC
AEMMY,A2A SPA,04/21/2016,NASDAQ-OTC
AENG,ADVANCED ENGINE TECH,04/21/2016,NASDAQ-OTC
AEOJF,AEON FINL SVC (JPN,04/21/2016,NASDAQ-OTC
AEPI,AEP INDUSTRIES,04/21/2016,NASDAQ-OTC
AEPP,ADVANCED ENVIRONMENTAL PET,04/21/2016,NASDAQ-OTC
AERG,APPLIED ENERGETICS,04/21/2016,NASDAQ-OTC
AERI,AERIE PHARMACEUTICALS INC,04/21/2016,NASDAQ-OTC
AERO,AEROGROW INTL INC,04/21/2016,NASDAQ-OTC
AERS,AERIUS CMN STK,04/21/2016,NASDAQ-OTC
AERT,ADVANCED ENVIRO A,04/21/2016,NASDAQ-OTC
AES-C,AES TRUST III,04/21/2016,NASDAQ-OTC
AESO,ATLANTIC ENERGY SOL,04/21/2016,NASDAQ-OTC
AETI,AMERICAN ELECTRIC TECHNO,04/21/2016,NASDAQ-OTC
AETUF,ARC RESOURCES LTD.,04/21/2016,NASDAQ-OTC
AEUA,ANADARKO PETROLEUM CORP 7.,04/21/2016,NASDAQ-OTC
AEXAF,ATOS ORIGIN SA ORD,04/21/2016,NASDAQ-OTC
AEXAY,ATOS ORIGIN SA-UNSP ADR,04/21/2016,NASDAQ-OTC
AEXE,AIM EXPLORATION INC,04/21/2016,NASDAQ-OTC
AEXFF,AMINEX PLC ORD,04/21/2016,NASDAQ-OTC
AEYE,AUDIOEYE INC,04/21/2016,NASDAQ-OTC
AEYIF,ARSENAL ENERGY NEW,04/21/2016,NASDAQ-OTC
AEZS,AETERNA ZENTARIS,04/21/2016,NASDAQ-OTC
AF-C,ASTORIA FINANCIAL CORP SER,04/21/2016,NASDAQ-OTC
AFAM,ALMOST FAMILY,04/21/2016,NASDAQ-OTC
AFAN,AF OCEAN INVT MGMT,04/21/2016,NASDAQ-OTC
AFAP,AFA PROTECTIVE SYSTE,04/21/2016,NASDAQ-OTC
AFBA,ALLIED FIRST BNCP MD,04/21/2016,NASDAQ-OTC
AFBG,AMER FIBER GREEN PRD,04/21/2016,NASDAQ-OTC
AFBOF,AFRICAN RAINBOW MINE,04/21/2016,NASDAQ-OTC
AFCB,ATHENS BANCSHARES,04/21/2016,NASDAQ-OTC
AFCJF,AFC AJAX NV,04/21/2016,NASDAQ-OTC
AFCO,AMERICAN FARMLAND COMPANY,04/21/2016,NASDAQ-OTC
AFCRF,AFRICO RES LTD,04/21/2016,NASDAQ-OTC
AFFMQ,AFFIRMATIVE INSURANCE HOLD,04/21/2016,NASDAQ-OTC
AFFN,AFFINITY NETWORKS I,04/21/2016,NASDAQ-OTC
AFFU,AFFLUENCE CORPORATIO,04/21/2016,NASDAQ-OTC
AFFX,AFFYMETRIX,04/21/2016,NASDAQ-OTC
AFFY,AFFYMAX INC.,04/21/2016,NASDAQ-OTC
AFGE,AMERICAN FINANCIAL GROUP I,04/21/2016,NASDAQ-OTC
AFGH,AMERICAN FINANCIAL GROUP I,04/21/2016,NASDAQ-OTC
AFGVF,AGFA GEVAERT NV (BEL,04/21/2016,NASDAQ-OTC
AFIDY,AFI DEV PLC,04/21/2016,NASDAQ-OTC
AFIMF,AFRICA ISRAEL INV OR,04/21/2016,NASDAQ-OTC
AFLYY,AIR FRANCE ADS,04/21/2016,NASDAQ-OTC
AFMCF,AFRICAN METAL CORP,04/21/2016,NASDAQ-OTC
AFMD,AFFIMED N.V.,04/21/2016,NASDAQ-OTC
AFMJF,ALPHAMIN RESOURCES CORP. O,04/21/2016,NASDAQ-OTC
AFML,AEROFOAM METALS INC,04/21/2016,NASDAQ-OTC
AFNL,AMTRUST FINANCIAL CO,04/21/2016,NASDAQ-OTC
AFOM,ALL FOR ONE MEDIA CORP. CO,04/21/2016,NASDAQ-OTC
AFOP,ALLIANCE FIBER OPTIC PROD,04/21/2016,NASDAQ-OTC
AFPW,ALUMIFUEL POWER CORP. COMM,04/21/2016,NASDAQ-OTC
AFQMF,AFRICAN QN MINES ORD,04/21/2016,NASDAQ-OTC
AFRAF,AIR FRANCE KLM,04/21/2016,NASDAQ-OTC
AFRBY,AFRICAN RAINBOW ADR,04/21/2016,NASDAQ-OTC
AFRMF,ALPHAFORM AG,04/21/2016,NASDAQ-OTC
AFRNF,AFREN PLC LONDON,04/21/2016,NASDAQ-OTC
AFRS,AMERICAN FIRST FINAN,04/21/2016,NASDAQ-OTC
AFSD,AFLAC INC,04/21/2016,NASDAQ-OTC
AFSE,ALL ENERGY CORP,04/21/2016,NASDAQ-OTC
AFSI,AMTRUST FINANCIAL SVCS,04/21/2016,NASDAQ-OTC
AFSI-A,AMTRUST FINANCIAL SERVICES,04/21/2016,NASDAQ-OTC
AFSI-B,AMTRUST FINANCIAL SERVICES,04/21/2016,NASDAQ-OTC
AFSI-C,AMTRUST FINANCIAL SERVICES,04/21/2016,NASDAQ-OTC
