BVN,BUENAVENTURA MINING,04/21/2016
BVX,BOVIE MEDICAL,04/21/2016
BW,BABCOCK & WILCOX ENTERPRIS,04/21/2016
BWA,BORGWARNER,04/21/2016
BWG,LEGGMASON BW GLOBAL INC OP,04/21/2016
BWL A,BOWL AMERICA,04/21/2016
BWP,BOARDWALK PIPELINE PRTNRS,04/21/2016
BWV,IPATH CBOE S&P 500 BUYWRIT,04/21/2016
BWX,SPDR BARCLAYS INTERNATIONA,04/21/2016
BWZ,SPDR BARCLAYS CAP S/T INTL,04/21/2016
BX,BLACKSTONE GROUP,04/21/2016
BXC,BLUELINX HOLDINGS,04/21/2016
BXE,BELLATRIX EXPLORATION,04/21/2016
BXP,BOSTON PROPERTIES,04/21/2016
BXS,BANCORPSOUTH,04/21/2016
BYD,BOYD GAMING,04/21/2016
BYM,BLACKROCK MUNI INCOME QLTY,04/21/2016
BZF,WISDOMTREE BRAZILIAN REAL,04/21/2016
BZH,BEAZER HOMES USA,04/21/2016
BZM,BLACKROCK MD MUNI BOND COM,04/21/2016
BZQ,PROSHARES ULTRASHORT MSCI,04/21/2016
C,CITIGROUP,04/21/2016
C-C,CITIGROUP INC PREF SERIES,04/21/2016
C-J,CITIGROUP INC PREF J,04/21/2016
C-K,CITIGROUP INC PREF K,04/21/2016
C-L,CITIGROUP INC PREF L,04/21/2016
C-N,CITIGROUP CAPITAL,04/21/2016
C-P,CITIGROUP,04/21/2016
C-S,CITIGROUP INC PFD S 1K TH,04/21/2016
CA,CA,04/21/2016
CAA,CALATLANTIC GROUP INC,04/21/2016
CAB,CABELA'S,04/21/2016
CAC,CAMDEN NATIONAL,04/21/2016
CAE,CAE,04/21/2016
CAF,MS CHINA A SHARE COMMON,04/21/2016
CAG,CONAGRA FOODS,04/21/2016
CAH,CARDINAL HEALTH,04/21/2016
CAI,CAI INTERNATIONAL  INC,04/21/2016
CAJ,CANON,04/21/2016
CAL,CALERES INC,04/21/2016
CAM,CAMERON INTERNATIONAL,04/21/2016
CAR,AVIS BUDGET GROUP,04/21/2016
CAS,A.M. CASTLE,04/21/2016
CAT,CATERPILLAR,04/21/2016
CAW,CCA INDUSTRIES,04/21/2016
CB,CHUBB,04/21/2016
CBA,CLEARBRIDGE AMERICAN ENERG,04/21/2016
CBB,CINCINNATI BELL,04/21/2016
CBD,BRAZILIAN DISTRIBUTION,04/21/2016
CBF,CAPITAL BANK FINANCIAL,04/21/2016
CBG,CBRE GROUP,04/21/2016
CBI,CHICAGO BRDGE & IRON,04/21/2016
CBK,CHRISTOPHER & BANKS,04/21/2016
CBL,CBL & ASSOCIATES PPTYS,04/21/2016
CBM,CAMBREX,04/21/2016
CBO,NYSE ARCA TEST SYMBOL,04/21/2016
CBR,CIBER,04/21/2016
CBS,CBS,04/21/2016
CBS A,CBS,04/21/2016
CBT,CABOT,04/21/2016
CBU,COMMUNITY BANK SYSTEM,04/21/2016
CBX,NYSE ARCA TEST SYMBOL,04/21/2016
CBZ,CBIZ,04/21/2016
CC,CHEMOURS CO,04/21/2016
CCA,MFS CALIFORNIA MUNICIPAL F,04/21/2016
CCC,CALGON CARBON,04/21/2016
CCD,CALAMOS DYNAMIC CONVERTIBL,04/21/2016
CCE,COCA-COLA ENTERPRISES,04/21/2016
CCF,CHASE,04/21/2016
CCI,CROWN CASTLE,04/21/2016
CCJ,CAMECO,04/21/2016
CCK,CROWN HOLDINGS,04/21/2016
CCL,CARNIVAL,04/21/2016
CCM,CONCORD MEDICAL SERVICES,04/21/2016
CCO,CLEAR CHANNEL OUTDOOR,04/21/2016
CCP,CARE CAPITAL PROPERTIES IN,04/21/2016
CCS,CENTURY COMMUNITIES INC,04/21/2016
CCU,UNITED BREWERIES COMPANY,04/21/2016
CCV,COMCAST CORPORATION,04/21/2016
CCX,WISDOMTREE COMMUNITY CURRE,04/21/2016
CCZ,COMCAST 2 % ZERO PREMIUM O,04/21/2016
CDC,VICTORY CEMP US EQ INCOME,04/21/2016
CDE,COUER MINING INC,04/21/2016
CDI,CDI,04/21/2016
CDK,CDK GLOBAL INC. COMMON ST,04/21/2016
CDL,VICTORY CEMP US LARGE CAP,04/21/2016
CDR,CEDAR REALTY TRUST,04/21/2016
CDW,CDW CORPORATION COMMON STO,04/21/2016
CE,CELANESE,04/21/2016
CEA,CHINA EASTERN AIRLINES,04/21/2016
CEB,CEB INC,04/21/2016
CEE,CENTRAL EUROPE RUSSIA AND,04/21/2016
CEF,CENTRAL FUND OF CANADA,04/21/2016
CEL,CELLCOM ISRAEL,04/21/2016
CEM,CLEARBRIDGE ENERGY MLP COM,04/21/2016
CEN,CENTER COAST MLP & INFRAST,04/21/2016
CEO,CNOOC,04/21/2016
CET,CENTRAL SECURITIES CORPORA,04/21/2016
CEV,EV CA MUNICIPAL INCOME COM,04/21/2016
CEW,WISDOMTREE EMERGING CURREN,04/21/2016
CEZ,VICTORY CEMP EMERGING MARK,04/21/2016
CF,CF INDUSTRIES HOLDINGS,04/21/2016
CFA,VICTORY CEMP US 500 VOLATI,04/21/2016
CFD,NUVEEN DIVERSIFIED,04/21/2016
CFG,CITIZENS FINANCIAL GROUP I,04/21/2016
CFI,CULP,04/21/2016
CFO,VICTORY CEMP US 500 ENHANC,04/21/2016
CFR,CULLEN FROST BANKERS,04/21/2016
CFX,COLFAX,04/21/2016
CG,CARLYLE GROUP,04/21/2016
CGA,CHINA GREEN AGRICULTURE,04/21/2016
CGG,CGG,04/21/2016
CGI,CELADON GROUP,04/21/2016
CGO,CALAMOS GLOBAL TOTAL RETUR,04/21/2016
CGW,GUGGENHEIM S&P GLOBAL WATE,04/21/2016
CH,ABERDEEN CHILE FUND COMMON,04/21/2016
CHA,CHINA TELECOM,04/21/2016
CHD,CHURCH & DWIGHT COMPANY,04/21/2016
CHE,CHEMED,04/21/2016
CHH,CHOICE HOTELS,04/21/2016
CHI,CALAMOS CONVERTIBLE OPPS &,04/21/2016
CHK,CHESAPEAKE ENERGY,04/21/2016
CHL,CHINA MOBILE,04/21/2016
CHN,CHINA FUND INC COMMON,04/21/2016
CHS,CHICO'S FAS,04/21/2016
CHT,CHUNGHWA TELECOM,04/21/2016
CHU,CHINA UNICOM,04/21/2016
CHW,CALAMOS GLOBAL DYNAMIC INC,04/21/2016
CHY,CALAMOS CONVERTIBLE & HIGH,04/21/2016
CI,CIGNA,04/21/2016
CIA,CITIZENS,04/21/2016
CIB,BANCOLOMBIA,04/21/2016
CID,VICTORY CEMP INTERNATIONAL,04/21/2016
CIE,COBALT INTERNATIONAL,04/21/2016
CIF,MFS INTERMEDIATE HIGH INCO,04/21/2016
CIG,ENERGY COMPANY OF MINAS,04/21/2016
CIG C,ENERGY COMPANY OF MINAS,04/21/2016
CII,BLACKROCK ENHANCED CAP & I,04/21/2016
CIK,CREDIT SUISSE INCOME COMMO,04/21/2016
CIL,VICTORY CEMP INTERNATIONAL,04/21/2016
CIM,CHIMERA INVESTMENT,04/21/2016
CIO,CITY OFFICE REIT INC,04/21/2016
CIR,CIRCOR INTERNATIONAL,04/21/2016
CIT,CIT GROUP,04/21/2016
